[0.205s] Invoking command in '/home/ice/microros_ws/build/micro_ros_setup': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/ice/microros_ws/src/micro_ros_setup -DCMAKE_INSTALL_PREFIX=/home/ice/microros_ws/install/micro_ros_setup
[0.673s] -- The C compiler identification is GNU 11.4.0
[1.179s] -- The CXX compiler identification is GNU 11.4.0
[1.223s] -- Detecting C compiler ABI info
[1.412s] -- Detecting C compiler ABI info - done
[1.424s] -- Check for working C compiler: /usr/bin/cc - skipped
[1.427s] -- Detecting C compile features
[1.433s] -- Detecting C compile features - done
[1.451s] -- Detecting CXX compiler ABI info
[1.709s] -- Detecting CXX compiler ABI info - done
[1.722s] -- Check for working CXX compiler: /usr/bin/c++ - skipped
[1.722s] -- Detecting CXX compile features
[1.724s] -- Detecting CXX compile features - done
[1.752s] -- Found ament_cmake: 1.3.7 (/opt/ros/humble/share/ament_cmake/cmake)
[2.142s] -- Found Python3: /usr/bin/python3.10 (found version "3.10.12") found components: Interpreter 
[2.509s] -- Found ament_lint_auto: 0.12.10 (/opt/ros/humble/share/ament_lint_auto/cmake)
[2.752s] -- Added test 'copyright' to check source files copyright and LICENSE
[2.810s] -- Added test 'flake8' to check Python code syntax and style conventions
[2.817s] -- Added test 'lint_cmake' to check CMake code style
[2.823s] -- Added test 'pep257' to check Python code against some of the docstring style conventions in PEP 257
[2.842s] -- Added test 'xmllint' to check XML markup files
[2.847s] -- Configuring done
[2.853s] -- Generating done
[2.855s] -- Build files have been written to: /home/ice/microros_ws/build/micro_ros_setup
[2.862s] Invoked command in '/home/ice/microros_ws/build/micro_ros_setup' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake /home/ice/microros_ws/src/micro_ros_setup -DCMAKE_INSTALL_PREFIX=/home/ice/microros_ws/install/micro_ros_setup
[2.866s] Invoking command in '/home/ice/microros_ws/build/micro_ros_setup': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/ice/microros_ws/build/micro_ros_setup -- -j2 -l2
[2.967s] Invoked command in '/home/ice/microros_ws/build/micro_ros_setup' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/ice/microros_ws/build/micro_ros_setup -- -j2 -l2
[3.079s] Invoking command in '/home/ice/microros_ws/build/micro_ros_setup': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/ice/microros_ws/build/micro_ros_setup
[3.116s] -- Install configuration: ""
[3.116s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/ament_index/resource_index/package_run_dependencies/micro_ros_setup
[3.117s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/ament_index/resource_index/parent_prefix_path/micro_ros_setup
[3.117s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.sh
[3.118s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/ament_prefix_path.dsv
[3.119s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.sh
[3.119s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/environment/path.dsv
[3.119s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.bash
[3.120s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.sh
[3.121s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.zsh
[3.121s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/local_setup.dsv
[3.122s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/package.dsv
[3.122s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/ament_index/resource_index/packages/micro_ros_setup
[3.123s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig.cmake
[3.124s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/cmake/micro_ros_setupConfig-version.cmake
[3.124s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/share/micro_ros_setup/package.xml
[3.124s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config
[3.125s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/agent_uros_packages.repos
[3.125s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed
[3.125s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed/dev_ros2_packages.txt
[3.126s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed/dev_uros_packages.repos
[3.126s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed/list_apps.sh
[3.126s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed/generic
[3.128s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed/generic/package.xml
[3.129s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed/generic/board.repos
[3.129s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed/generic/client_uros_packages.repos
[3.130s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed/generic/create.sh
[3.131s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed/generic/flash.sh
[3.131s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed/generic/build.sh
[3.132s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/mbed/generic/supported_platforms
[3.133s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra
[3.133s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra/dev_ros2_packages.txt
[3.133s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra/dev_uros_packages.repos
[3.133s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra/list_apps.sh
[3.134s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5
[3.134s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/configure.sh
[3.135s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/board.repos
[3.135s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/client_uros_packages.repos
[3.136s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/create.sh
[3.136s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/flash.sh
[3.136s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/client-colcon.meta
[3.137s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/renesas_ra/ra6m5/build.sh
[3.137s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/android
[3.138s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/android/dev_ros2_packages.txt
[3.138s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/android/dev_uros_packages.repos
[3.138s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/android/generic
[3.139s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/android/generic/package.xml
[3.139s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/android/generic/client_uros_packages.repos
[3.139s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/android/generic/create.sh
[3.140s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/android/generic/flash.sh
[3.141s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/android/generic/client-colcon.meta
[3.141s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/android/generic/build.sh
[3.142s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos
[3.142s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/dev_ros2_packages.txt
[3.143s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/dev_uros_packages.repos
[3.144s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/crazyflie21
[3.144s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/package.xml
[3.145s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/configure.sh
[3.145s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/board.repos
[3.146s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/client_uros_packages.repos
[3.147s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/create.sh
[3.148s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/flash.sh
[3.149s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/client-colcon.meta
[3.149s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/crazyflie21/build.sh
[3.150s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/esp32
[3.152s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/esp32/README.md
[3.153s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/esp32/package.xml
[3.153s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/esp32/configure.sh
[3.153s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/esp32/board.repos
[3.153s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/esp32/client_uros_packages.repos
[3.153s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/esp32/create.sh
[3.154s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/esp32/flash.sh
[3.155s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/esp32/client-colcon.meta
[3.156s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/esp32/build.sh
[3.157s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407
[3.158s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/package.xml
[3.159s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/configure.sh
[3.160s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/board.repos
[3.160s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/client_uros_packages.repos
[3.160s] -- Installing: /home/ice/microros_ws/install/micro_ros_setup/./config/freertos/olimex-stm32-e407/create.sh
